(-351.64, 0.00, 122.21) (0.00029, 0.70695, -0.00013, 0.70727)	(-351.14, 0.55, 122.21) (-0.18269, 0.68293, -0.18318, 0.68313)	(-350.20, 0.32, 122.92) (0.40193, 0.51584, -0.69550, 0.29774)	(-350.20, 0.32, 121.50) (0.41358, 0.48744, -0.71568, 0.28134)	
(-350.09, 0.00, 121.77) (0.00029, 0.78817, -0.00016, 0.61545)	(-349.61, 0.55, 121.65) (-0.20372, 0.76139, -0.15944, 0.59444)	(-348.52, 0.32, 122.11) (-0.33100, -0.48899, 0.78001, -0.20717)	(-348.87, 0.32, 120.73) (-0.20572, -0.78284, 0.48444, -0.33190)	
(-348.35, 0.00, 121.03) (0.00020, 0.83530, -0.00023, 0.54980)	(-347.90, 0.55, 120.83) (0.11011, 0.82801, 0.07212, 0.54505)	(-346.75, 0.32, 121.11) (0.64474, 0.09880, -0.75326, 0.08461)	(-347.31, 0.32, 119.81) (0.36546, 0.62835, -0.42701, 0.53785)	
(-346.63, 0.00, 120.50) (0.00013, 0.81302, -0.00027, 0.58224)	(-346.16, 0.55, 120.34) (0.21055, 0.78528, 0.15043, 0.56247)	(-345.04, 0.32, 120.70) (-0.74572, -0.16569, 0.61293, -0.20190)	(-345.49, 0.32, 119.36) (-0.44546, -0.51861, 0.36630, -0.63121)	
(-344.62, 0.00, 120.24) (0.00012, 0.74610, -0.00030, 0.66583)	(-344.12, 0.55, 120.19) (0.19322, 0.72065, 0.17204, 0.64322)	(-343.11, 0.32, 120.79) (0.83217, 0.05382, -0.54570, 0.08252)	(-343.27, 0.32, 119.38) (0.78499, 0.18876, -0.51483, 0.28828)	
(-342.75, 0.00, 120.42) (0.00013, 0.66174, -0.00030, 0.74974)	(-342.25, 0.55, 120.48) (0.17140, 0.63915, 0.19375, 0.72427)	(-341.40, 0.32, 121.31) (0.88312, 0.07334, -0.43906, 0.14813)	(-341.23, 0.32, 119.90) (0.89252, -0.03632, -0.44366, -0.07246)	
(-340.92, 0.00, 121.02) (0.00017, 0.56144, -0.00029, 0.82752)	(-340.46, 0.55, 121.21) (0.14547, 0.54226, 0.21390, 0.79940)	(-339.84, 0.32, 122.21) (-0.92460, -0.06692, 0.32123, -0.19349)	(-339.32, 0.32, 120.90) (-0.79246, 0.17884, 0.27511, 0.51414)	
(-339.26, 0.00, 122.02) (0.00020, 0.44871, -0.00027, 0.89368)	(-338.86, 0.55, 122.32) (0.11633, 0.43337, 0.23104, 0.86329)	(-338.52, 0.32, 123.45) (0.94425, 0.05336, -0.19495, 0.25989)	(-337.68, 0.32, 122.31) (0.47813, -0.17654, -0.09843, -0.85471)	
(-337.66, 0.00, 123.25) (0.00025, 0.38492, -0.00017, 0.92295)	(-337.31, 0.55, 123.60) (-0.05304, 0.38125, -0.12795, 0.91404)	(-337.13, 0.32, 124.77) (-0.86694, -0.03545, 0.49323, -0.06228)	(-336.14, 0.32, 123.76) (0.06058, 0.49331, -0.03445, 0.86706)	
(-335.76, 0.00, 124.56) (0.00028, 0.44610, -0.00010, 0.89498)	(-335.36, 0.55, 124.86) (-0.11519, 0.43098, -0.23174, 0.86446)	(-335.04, 0.32, 126.00) (0.43549, -0.53888, -0.38533, -0.60949)	(-334.18, 0.32, 124.86) (0.55385, 0.44622, -0.48964, 0.50437)	
(-333.84, 0.00, 125.49) (0.00031, 0.54714, -0.00006, 0.83704)	(-333.38, 0.55, 125.69) (-0.14130, 0.52857, -0.21670, 0.80851)	(-332.80, 0.32, 126.72) (-0.13140, -0.73060, 0.14644, -0.65384)	(-332.23, 0.32, 125.42) (-0.61342, -0.29274, 0.68522, -0.26170)	
(-331.75, 0.00, 126.04) (0.00032, 0.64806, -0.00008, 0.76159)	(-331.25, 0.55, 126.12) (-0.16742, 0.62606, -0.19719, 0.73562)	(-330.44, 0.32, 126.97) (0.46525, 0.47243, -0.67401, 0.32569)	(-330.21, 0.32, 125.57) (0.55948, 0.14179, -0.81078, 0.09750)	
(-329.60, 0.00, 126.16) (0.00031, 0.73850, -0.00012, 0.67426)	(-329.10, 0.55, 126.12) (-0.19084, 0.71342, -0.17463, 0.65125)	(-328.10, 0.32, 126.74) (-0.45997, 0.02398, 0.88752, 0.01274)	(-328.23, 0.32, 125.33) (-0.45884, -0.06735, 0.88529, -0.03460)	
(-327.24, 0.00, 125.87) (0.00026, 0.81300, -0.00018, 0.58227)	(-326.77, 0.55, 125.71) (0.06262, 0.81058, 0.04448, 0.58057)	(-325.65, 0.32, 126.08) (0.26071, -0.70231, -0.31406, -0.58323)	(-326.11, 0.32, 124.74) (0.56320, -0.36306, -0.67827, -0.30156)	
(-325.05, 0.00, 125.51) (0.00021, 0.80757, -0.00022, 0.58978)	(-324.57, 0.55, 125.36) (0.19087, 0.78469, 0.13904, 0.57315)	(-323.45, 0.32, 125.75) (-0.21633, -0.62278, 0.18500, -0.72878)	(-323.89, 0.32, 124.40) (0.27887, -0.60443, -0.23819, -0.70722)	
(-322.80, 0.00, 125.33) (0.00015, 0.73881, -0.00027, 0.67392)	(-322.30, 0.55, 125.28) (0.19136, 0.71359, 0.17416, 0.65102)	(-321.30, 0.32, 125.90) (0.63504, 0.35397, -0.40675, 0.55315)	(-321.43, 0.32, 124.49) (0.49460, 0.43628, -0.31687, 0.68163)	
(-320.31, 0.00, 125.56) (0.00014, 0.63300, -0.00030, 0.77415)	(-319.82, 0.55, 125.66) (0.15872, 0.61278, 0.19365, 0.74954)	(-319.03, 0.32, 126.54) (-0.90597, 0.03677, 0.41413, 0.07977)	(-318.75, 0.32, 125.15) (-0.80890, 0.19032, 0.36964, 0.41574)	
